,Darknet19,,,,,,,,,
"512x512(H,W)",FWD,,,,,,,,,
no-checkpoint,1.291325808,0.5918693542,1.886896849,,,,,10K(16x16),,
seq-checkpoint,1.322283745,0.6042926311,1.930267334,,,,,3.731568813,11.37783194,16.98381877
1x1(num of tiles),1.327916622,0.5374150276,1.870215178,,,,,,,
2x2,1.367138386,0.6595861912,2.031623602,,,,,20K(32x32),,
4x4,1.438395739,0.7845516205,2.227552652,,,,,12.34599423,45.35231972,65.17256188
8x8,1.707271576,1.515689373,3.227185488,,,,,,,
16x16,2.716576099,3.862396479,6.582707644,,,,,,,
,,,,,,,,,,
1024x1024,,,,,,,,,,
no-checkpoint,1.36646843,0.5510110855,1.931780815,,,,,,,
seq-checkpoint,1.324729443,0.5554168224,1.89452076,,,,,,,
1x1,1.349866629,0.6267039776,1.994797945,,,,,,,
2x2,1.38036108,0.7970845699,2.195765734,,,,,,,
4x4,1.449522257,1.054201365,2.522378445,,,,,,,
8x8,1.846810341,1.624615908,3.489890814,,,,,,,
16x16,3.234176636,4.160333872,7.41280365,,,,,,,
,,,,,,,,,,
2048x2048,,,,,,,,,,
no-checkpoint,1.333368063,0.5933709145,2.001612425,,,,,,,
seq-checkpoint,1.328462362,0.6031367779,2.007571459,,,,,,,
1x1,1.368190289,0.7007536888,2.144595146,,,,,,,
2x2,1.394587517,0.876229763,2.3462286,,,,,,,
4x4,1.487752199,1.208966017,2.776425838,,,,,,,
8x8,1.792282104,1.944099426,3.811728954,,,,,,,
16x16,2.983601093,4.806210756,7.865493536,,,,,,,
,,,,,,,,,,
3072x3072,,,,,,,,,,
no-checkpoint,1.370054245,0.6365807056,2.175503731,,,,,,,
seq-checkpoint,1.369273901,0.6694340706,2.206765413,,,,,,,
1x1,1.415997744,0.8606965542,2.44598937,,,,,,,
2x2,1.466983795,0.9725880623,2.608806849,,,,,,,
4x4,1.551236391,1.267293215,2.98557353,,,,,,,
8x8,1.829544067,2.355844498,4.354727268,,,,,,,
16x16,3.005711555,5.722343683,8.896914244,,,,,,,
,,,,,,,,,,
4096x4096,,,,,,,,,,
no-checkpoint,1.43792963,0.6953644753,2.431959629,,,,,,,
seq-checkpoint,1.420670748,0.7281346321,2.446750641,,,,,,,
1x1,1.461893082,0.9919323921,2.753242731,,,,,,,
2x2,1.54420495,1.09505558,2.941342831,,,,,,,
4x4,1.622006655,1.471957445,3.393999577,,,,,,,
8x8,1.899339676,2.898765802,5.098266363,,,,,,,
16x16,3.230381489,6.580742121,10.11151791,,,,,,,
,,,,,,,,,,
5120x5120,,,,,,,,,,
no-checkpoint,1.482267141,0.7994549274,2.747046471,,,,,,,
seq-checkpoint,1.496520281,0.8019227982,2.765040636,,,,,,,
1x1,1.562928677,1.148211479,3.177456617,,,,,,,
2x2,1.62718749,1.339316845,3.434335232,,,,,,,
4x4,1.711536169,1.683241129,3.862997293,,,,,,,
8x8,2.017491102,3.206294775,5.692135811,,,,,,,
16x16,3.108598232,6.929050684,10.50441527,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6144x6144,,,,,,,,,,
no-checkpoint,1.575311184,4.26971817,6.521125793,,,,,,,
seq-checkpoint,1.579181433,4.001808167,6.255235672,,,,,,,
1x1,1.653533936,4.476761103,6.803486109,,,,,,,
2x2,1.706859589,1.586094618,3.959628105,,,,,,,
4x4,1.813251257,2.28111577,4.767992973,,,,,,,
8x8,2.116424084,3.681890011,6.470578909,,,,,,,
16x16,3.275562763,7.336025238,11.2881856,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7168x7168,,,,,,,,,,
no-checkpoint,1.638216019,5.996035337,8.549277306,,,,,,,
seq-checkpoint,1.669439316,5.793862581,8.382252932,,,,,,,
1x1,OOM,,,,,,,,,
2x2,1.813458204,1.903944969,4.6387465,,,,,,,
4x4,1.916701078,2.686105251,5.521382093,,,,,,,
8x8,2.163936853,4.180689096,7.26109767,,,,,,,
16x16,3.274757385,8.50455761,12.69983578,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8192x8192,,,,,,,,,,
no-checkpoint,OOM,,,,,,,,,
seq-checkpoint,OOM,,,,,,,,,
1x1,OOM,,,,,,,,,
2x2,1.940139771,2.318281651,5.454593897,,,,,,,
4x4,2.056150675,2.947732449,6.2034688,,,,,,,
8x8,2.423835278,4.649811745,8.271162748,,,,,,,
16x16,3.4520998,9.517849684,14.16939187,,,,,,,
